视频 ID,用户 ID,用户昵称,标题,归属类别,图片,发布时间,观看人数,弹幕数,点赞数,投币数,收藏数,分享数,评论数,当前时间
116187019222644,5294454,逗比的雀巢,不该让爷爷看b站的,搞笑,http://i1.hdslb.com/bfs/archive/bec46259e40b2044b103c673b4efbca2db3349ef.jpg,2026-03-07,6144915,17332,711261,468299,211962,49248,18382,2026-03-08
116191431493664,398704314,孤独的xx,《鸽羽》,影视剪辑,http://i0.hdslb.com/bfs/archive/5bad1890655258f030ed2c79192bab7bc1cd2c04.jpg,2026-03-08,892120,2001,135314,39550,46394,21232,3974,2026-03-08
116187153369618,239555119,睡不醒酒,放心老爸，我会照顾好她们每一个人的。,小剧场,http://i0.hdslb.com/bfs/archive/9160a7263cee2079b5f83a81d4486f3ca8851678.jpg,2026-03-07,2908170,1594,235108,69024,13528,1872,5148,2026-03-08
116165779199243,13204694,贪吃的小咪-,我好像买到了一只星期猫,喵星人,http://i0.hdslb.com/bfs/archive/0561a5d2ff90fd9c1dd75c257eedbfee9b52b780.jpg,2026-03-03,7166933,18242,925973,785058,252269,15796,15991,2026-03-08
116193310545922,435931665,军武志,抄作业就能活：伊朗接下来怎么打，已经写在中国抗日和解放战争的历史里了,人文历史,http://i1.hdslb.com/bfs/archive/6fe1e8c2b5ba063cc50a2d99fa245d3164f84465.jpg,2026-03-08,619573,4482,36177,15876,9597,1442,2500,2026-03-08
116186448727051,98627270,哔哩哔哩国创,【独家】牧神记 第73集 大盗不止,国产动画,http://i2.hdslb.com/bfs/archive/5d8c532f95b4e7adcfeef1d7a94d0e9fef0bf7b4.png,2026-03-08,2552732,8487,31877,28316,3655,234,1319,2026-03-08
116170577546260,108331200,_张天琪,一声妈妈，一生妈妈,日常,http://i0.hdslb.com/bfs/archive/277ea98c046b106e9d0d9ae6dbea80ec4d840a64.jpg,2026-03-04,9374242,4660,603115,328425,371255,4005,7108,2026-03-08
116193444954517,63231,泛式,这么多真的受不了啊！2026年4月新番导视！【泛式】,动漫杂谈,http://i2.hdslb.com/bfs/archive/114d71e6d97c5e5fa7c13284afe5b0c1404ae2b6.jpg,2026-03-08,573820,9619,65015,31059,17625,4952,4430,2026-03-08
116190710073499,1208823126,大圆镜科普,梅毒：来自地狱的伴手礼,科学科普,http://i2.hdslb.com/bfs/archive/c368951ec908505a3733a4f46687c4e752872ecf.jpg,2026-03-08,813471,1461,79371,3071,11003,1249,1317,2026-03-08
116176902624310,389400079,十三要和拳头,从中国自驾到冰岛只需要7天？这有1000万中国人？我真信了开到了冰岛！,出行,http://i2.hdslb.com/bfs/archive/e8a17dc4acf9c63084cea891772feda5eeca1648.jpg,2026-03-06,3635561,10148,225218,108873,64340,17006,4097,2026-03-08
116187421744547,13354765,徐大虾咯,最难绷【你画我猜】,单机游戏,http://i2.hdslb.com/bfs/archive/f226621c5edaeda5175c63c18405188df7e5bd7c.jpg,2026-03-07,1197597,8232,193347,109557,35001,3709,3873,2026-03-08
116181533001962,59166848,不放弃的猴子导演,回村一周，没想到侄子会这样评价我,短片,http://i0.hdslb.com/bfs/archive/d5f1e71b9df979b06ee73fed333a97eff72679dc.jpg,2026-03-06,1834212,3254,144205,96564,36840,5175,7699,2026-03-08
116182136922074,16135497,盼之App,清雨毁号事件再爆猛料？！后续我们将持续跟进！,日常,http://i1.hdslb.com/bfs/archive/3e36714112922e105829f46d4180fa4aa44bdceb.jpg,2026-03-06,5559939,15906,348313,96585,40277,29378,45122,2026-03-08
116186348064825,226895290,陈崽生活日记,手搓131平老破大硬装，还真让我搞定了,家居房产,http://i2.hdslb.com/bfs/archive/a8a1228e5d6880d02fb5b1ea2e7fc2092cf1d7bd.jpg,2026-03-07,903118,817,82944,6656,6967,3353,3496,2026-03-08
116187337989558,632887,伢伢gagako,和小潮院长互换饮食！！！,搞笑,http://i2.hdslb.com/bfs/archive/52983ac11025123086fbcf7c8d6dbd60b234a57e.jpg,2026-03-08,804985,3185,77166,17325,19243,689,1156,2026-03-08
116192958218498,7349,STN工作室,【STN快报第八季45】又幻想了，幻想卡普空是讲故事高手,预告·资讯,http://i1.hdslb.com/bfs/archive/29f4836090d78aa28ad5dda49522d11bd32ea466.jpg,2026-03-08,443133,9387,43333,29076,10161,1444,1603,2026-03-08
116187019087950,1375113280,meme的爆米花,邻居喜欢我爸,搞笑,http://i0.hdslb.com/bfs/archive/a5c54822cc4d37d40325239afe4f13e49b23ebe8.jpg,2026-03-07,5394287,1139,293368,4718,31167,12664,4255,2026-03-08
116193478314227,346563107,波士顿圆脸,FT：霍尔木兹的船纷纷称是中国船，全是中国人,社科·法律·心理,http://i0.hdslb.com/bfs/archive/0e5c62c9cbbce0b56d41c2ab21543c1e7305ae16.jpg,2026-03-08,535850,3048,33947,1802,4055,876,2321,2026-03-08
116181214233133,3546961118497436,芋头在加拿大,天大地大都是朋友~ 2026我们一起让世界变得更好,翻唱,http://i1.hdslb.com/bfs/archive/3757ff567ce247971146ff5abaccc443e01a7122.jpg,2026-03-06,1302630,5870,204157,85340,45841,6289,4969,2026-03-08
116188965244935,268941858,磊哥游戏,程咬金一技能加了控制，这下真的有超标风险了,手机游戏,http://i1.hdslb.com/bfs/archive/a51d365726a79959e7607d32ab7cf2989eccaef1.jpg,2026-03-08,1272135,849,71896,2662,2463,1052,2816,2026-03-08
116187186923660,703186600,麻薯波比呀,伊朗局势影响开始外溢！万税爷请我辨忠奸,社科·法律·心理,http://i1.hdslb.com/bfs/archive/4cd8a4a385188c535ab20757eba8c4a646ee7989.jpg,2026-03-07,1953697,12294,103772,15256,12070,2255,4232,2026-03-08
116193109346495,3546775998696143,小宋-SH,【笑柄小兵肖饼】第一天上班的小兵和三个新手,单机游戏,http://i1.hdslb.com/bfs/archive/7ec3a1a476729a655ccf21a25af9d68548a753cd.jpg,2026-03-08,208151,529,21169,10775,4877,797,853,2026-03-08
