热搜排名,热搜标题,描述,热搜指数,链接地址,封图链接
0,立德少年时 树人天地间,育人之本在于立德，从小把德“立”住，人方能“树”起来，成为对国家、社会有益的人才。,7904572,https://m.baidu.com/s?word=%E7%AB%8B%E5%BE%B7%E5%B0%91%E5%B9%B4%E6%97%B6+%E6%A0%91%E4%BA%BA%E5%A4%A9%E5%9C%B0%E9%97%B4&sa=fyb_news,https://fyb-2.cdn.bcebos.com/hotboard_image/f218a9e000d1a0c9396487ddc776b30b
1,女子罕见被控迷信罪 “供奉”2.1亿,2025年12月13日，54岁的李文荣因向自称“邬金多杰财宝法王”的王金阁交纳2.1亿元“供奉金”，在河南省清丰县人民法院被指控犯利用迷信破坏法律实施罪，涉案组织“三会一部”被控敛财总额2.2亿元。,7808791,https://m.baidu.com/s?word=%E5%A5%B3%E5%AD%90%E7%BD%95%E8%A7%81%E8%A2%AB%E6%8E%A7%E8%BF%B7%E4%BF%A1%E7%BD%AA+%E2%80%9C%E4%BE%9B%E5%A5%89%E2%80%9D2.1%E4%BA%BF&sa=fyb_news,https://fyb-2.cdn.bcebos.com/hotboard_image/07e50bdb924adbcb1a68e5aa753ab2d4
2,人民币再次升值,12月15日，人民币对美元汇率显著走强，更多反映国际投资者预期的离岸人民币于盘中升破7.05，在岸、离岸人民币汇率双双达到去年10月中旬以来的高点。,7713551,https://m.baidu.com/s?word=%E4%BA%BA%E6%B0%91%E5%B8%81%E5%86%8D%E6%AC%A1%E5%8D%87%E5%80%BC&sa=fyb_news,https://fyb-2.cdn.bcebos.com/hotboard_image/6ad1e424db327abaae60d266ebe1a721
3,中国继续成为全球增长的重要引擎,日前在北京举行的中央经济工作会议受到国际社会广泛关注。国际舆论认为，此次会议为明年中国经济工作锚定航向，为“十五五”开局奠定良好基础。在全球经济不确定性上升的背景下，中国经济保持稳健增长势头，与各国共享发展机遇，将继续成为全球的重要增长引擎，为世界注入更多稳定性和正能量。,7617291,https://m.baidu.com/s?word=%E4%B8%AD%E5%9B%BD%E7%BB%A7%E7%BB%AD%E6%88%90%E4%B8%BA%E5%85%A8%E7%90%83%E5%A2%9E%E9%95%BF%E7%9A%84%E9%87%8D%E8%A6%81%E5%BC%95%E6%93%8E&sa=fyb_news,https://fyb-2.cdn.bcebos.com/hotboard_image/6cdbc4780c3a9cf7ae6a1998996771fb
4,山东东营一对新人用1000元办了婚礼,近日，山东东营一对新人用1000元办了场婚礼，引发热议。新郎赵先生表示：我们的婚礼特简单，就是吃了一顿家宴。网友：得到大家祝福，说是最昂贵的婚礼不为过。,7521572,https://m.baidu.com/s?word=%E5%B1%B1%E4%B8%9C%E4%B8%9C%E8%90%A5%E4%B8%80%E5%AF%B9%E6%96%B0%E4%BA%BA%E7%94%A81000%E5%85%83%E5%8A%9E%E4%BA%86%E5%A9%9A%E7%A4%BC&sa=fyb_news,https://fyb-2.cdn.bcebos.com/hotboard_image/9bb9f3a48bee73d0df5efed00fe7a809
5,飞机凌晨在兰州上空盘旋 轰鸣数小时,12月16日凌晨，一架国际货机在兰州上空异常盘旋近30圈后备降中川机场，持续数小时的飞行引发市民对轰鸣噪音的投诉，机场客服表示暂不清楚具体备降原因。,7427871,https://m.baidu.com/s?word=%E9%A3%9E%E6%9C%BA%E5%87%8C%E6%99%A8%E5%9C%A8%E5%85%B0%E5%B7%9E%E4%B8%8A%E7%A9%BA%E7%9B%98%E6%97%8B+%E8%BD%B0%E9%B8%A3%E6%95%B0%E5%B0%8F%E6%97%B6&sa=fyb_news,https://fyb-2.cdn.bcebos.com/hotboard_image/2b0b03854487c674edb4af3885c56607
6,吴秀波被执行6200万,中国执行信息公开网显示，近日，吴秀波新增一则被执行人信息，执行标的6200万余元，执行法院为北京市第三中级人民法院。,7331617,https://m.baidu.com/s?word=%E5%90%B4%E7%A7%80%E6%B3%A2%E8%A2%AB%E6%89%A7%E8%A1%8C6200%E4%B8%87&sa=fyb_news,https://fyb-2.cdn.bcebos.com/hotboard_image/4d55a0e004cded9588d8a9dcfabe47bf
7,16岁少年靠一只烤鸡日入过万,少年小陈在深圳经营“少年烤鸡”摊，靠一只烤鸡日入过万，16岁烤鸡少年凭什么火出圈？老板小陈用实力证明：小生意也有大门道。,7231673,https://m.baidu.com/s?word=16%E5%B2%81%E5%B0%91%E5%B9%B4%E9%9D%A0%E4%B8%80%E5%8F%AA%E7%83%A4%E9%B8%A1%E6%97%A5%E5%85%A5%E8%BF%87%E4%B8%87&sa=fyb_news,https://fyb-2.cdn.bcebos.com/hotboard_image/b4098e684301aa0b2e1d30c32f672b72
8,商场被指吓人悬空大衣已撤下,近日，有网友发帖反映，上海南京西路久光百货商场中庭悬挂着数十件长大衣，奇特的布置让不少网友直呼气氛诡异，有点吓人。12月15日，一工作人员表示，目前，商场中庭上面悬挂的大衣已经撤下，下面展台部分正常售卖。,7140947,https://m.baidu.com/s?word=%E5%95%86%E5%9C%BA%E8%A2%AB%E6%8C%87%E5%90%93%E4%BA%BA%E6%82%AC%E7%A9%BA%E5%A4%A7%E8%A1%A3%E5%B7%B2%E6%92%A4%E4%B8%8B&sa=fyb_news,https://fyb-2.cdn.bcebos.com/hotboard_image/78fa02749b035a4875b4a38e0f1ae046
9,海南自贸港18日正式启动全岛封关,海南省政府12月16日对外发布通告称，按照党中央决策部署，自2025年12月18日起，海南自由贸易港正式启动全岛封关。,7041326,https://m.baidu.com/s?word=%E6%B5%B7%E5%8D%97%E8%87%AA%E8%B4%B8%E6%B8%AF18%E6%97%A5%E6%AD%A3%E5%BC%8F%E5%90%AF%E5%8A%A8%E5%85%A8%E5%B2%9B%E5%B0%81%E5%85%B3&sa=fyb_news,https://fyb-2.cdn.bcebos.com/hotboard_image/4ecbd732dc3426e71167034ffd6c777a
