热搜排名,热搜标题,描述,热搜指数,链接地址,封图链接
0,总书记的一周,时政微周刊丨总书记的一周（4月14日—4月20日）,7904039,https://m.baidu.com/s?word=%E6%80%BB%E4%B9%A6%E8%AE%B0%E7%9A%84%E4%B8%80%E5%91%A8&sa=fyb_news,https://fyb-2.cdn.bcebos.com/hotboard_image/5991d5e75c99ad86df8a1c17cc59da97
1,聋哑女生因容貌美得不真实被质疑,近日，西安一女大学生宸玥因长相太美被质疑“长得像AI”。校友：她是聋哑人，对同学们都很好。,7809019,https://m.baidu.com/s?word=%E8%81%8B%E5%93%91%E5%A5%B3%E7%94%9F%E5%9B%A0%E5%AE%B9%E8%B2%8C%E7%BE%8E%E5%BE%97%E4%B8%8D%E7%9C%9F%E5%AE%9E%E8%A2%AB%E8%B4%A8%E7%96%91&sa=fyb_news,https://fyb-2.cdn.bcebos.com/hotboard_image/883d537a36edcf89e41bcc778b929402
2,受贿超8.22亿 李鹏新被判死缓,4月22日，陕西省宝鸡市人民法院一审公开宣判新疆维吾尔自治区党委原副书记李鹏新受贿案，对其以受贿罪判处死刑，缓期两年执行。,7714100,https://m.baidu.com/s?word=%E5%8F%97%E8%B4%BF%E8%B6%858.22%E4%BA%BF+%E6%9D%8E%E9%B9%8F%E6%96%B0%E8%A2%AB%E5%88%A4%E6%AD%BB%E7%BC%93&sa=fyb_news,https://fyb-2.cdn.bcebos.com/hotboard_image/7ef41a55b4aa208ef8d57a2198d4fca2
3,美小企业主：我最近哭泣次数很多,美国一位小企业主在接受采访时分享了她被美国政府“疯狂关税”打击后的心路历程：我最近哭泣的次数比一个经常啼哭的小男孩还要多。,7619522,https://m.baidu.com/s?word=%E7%BE%8E%E5%B0%8F%E4%BC%81%E4%B8%9A%E4%B8%BB%EF%BC%9A%E6%88%91%E6%9C%80%E8%BF%91%E5%93%AD%E6%B3%A3%E6%AC%A1%E6%95%B0%E5%BE%88%E5%A4%9A&sa=fyb_news,https://fyb-2.cdn.bcebos.com/hotboard_image/27786220abb0593bb78e157131c67960
4,电商平台全面取消仅退款,4月22日，电商平台将全面取消 “仅退款”，消费者收到货后的退款不退货申请，将由商家自主处理。,7522326,https://m.baidu.com/s?word=%E7%94%B5%E5%95%86%E5%B9%B3%E5%8F%B0%E5%85%A8%E9%9D%A2%E5%8F%96%E6%B6%88%E4%BB%85%E9%80%80%E6%AC%BE&sa=fyb_news,https://fyb-2.cdn.bcebos.com/hotboard_image/14ea489001100d9e7f6800ac6dd655ac
5,中国被曝能让全球无人机产业停摆1年,据美媒爆料，由于美国对中国无人机技术的高度依赖，五角大楼高官表示：中国有能力让全球无人机产业停摆一年。,7428694,https://m.baidu.com/s?word=%E4%B8%AD%E5%9B%BD%E8%A2%AB%E6%9B%9D%E8%83%BD%E8%AE%A9%E5%85%A8%E7%90%83%E6%97%A0%E4%BA%BA%E6%9C%BA%E4%BA%A7%E4%B8%9A%E5%81%9C%E6%91%861%E5%B9%B4&sa=fyb_news,https://fyb-2.cdn.bcebos.com/hotboard_image/602920069ac8a1e9d7e4c66a5f5b286b
6,67款APP违法收集使用个人信息被通报,近日，国家计算机病毒应急处理中心检测发现67款违法违规收集使用个人信息的移动应用，来看详细通报。,7329547,https://m.baidu.com/s?word=67%E6%AC%BEAPP%E8%BF%9D%E6%B3%95%E6%94%B6%E9%9B%86%E4%BD%BF%E7%94%A8%E4%B8%AA%E4%BA%BA%E4%BF%A1%E6%81%AF%E8%A2%AB%E9%80%9A%E6%8A%A5&sa=fyb_news,https://fyb-2.cdn.bcebos.com/hotboard_image/5eb2f3fcc0fa34b90c5b07d0a10afef4
7,39岁网红与前妻3天内相继离世,4月21日，河南林州网红“串哥”突发疾病去世，年仅39岁。而在他去世前几天，其前妻也因车祸离世，两人留下一个上初一的孩子。,7234298,https://m.baidu.com/s?word=39%E5%B2%81%E7%BD%91%E7%BA%A2%E4%B8%8E%E5%89%8D%E5%A6%BB3%E5%A4%A9%E5%86%85%E7%9B%B8%E7%BB%A7%E7%A6%BB%E4%B8%96&sa=fyb_news,https://fyb-2.cdn.bcebos.com/hotboard_image/e8c7737c6ae7c405c648bbf33f6d83c6
8,董明珠：搞小三小四能搞好企业才怪,近日，格力董事长董明珠谈及企业管理称，天天搞小三小四还有精力搞好企业才叫怪，我除了格力两个字其他事都不管。,7137139,https://m.baidu.com/s?word=%E8%91%A3%E6%98%8E%E7%8F%A0%EF%BC%9A%E6%90%9E%E5%B0%8F%E4%B8%89%E5%B0%8F%E5%9B%9B%E8%83%BD%E6%90%9E%E5%A5%BD%E4%BC%81%E4%B8%9A%E6%89%8D%E6%80%AA&sa=fyb_news,https://fyb-2.cdn.bcebos.com/hotboard_image/1e38ce1cf6fdd01c2a4d6201d68ee7e1
9,女演员闻宝宝脚丫致眼睛感染睁不开,医生提醒：小宝宝通常活动量较大，脚部容易产生大量汗液，互动时一定要注意卫生问题。,7044204,https://m.baidu.com/s?word=%E5%A5%B3%E6%BC%94%E5%91%98%E9%97%BB%E5%AE%9D%E5%AE%9D%E8%84%9A%E4%B8%AB%E8%87%B4%E7%9C%BC%E7%9D%9B%E6%84%9F%E6%9F%93%E7%9D%81%E4%B8%8D%E5%BC%80&sa=fyb_news,https://fyb-2.cdn.bcebos.com/hotboard_image/9b10ec521fc194b05ebec4623100b77b
10,结婚1年半离婚要回35万彩礼判还6万,近日，结婚一年半后妻子起诉离婚的案件引起关注，男方列出35万“彩礼账单”要求返还！法院判还6万。,6946309,https://m.baidu.com/s?word=%E7%BB%93%E5%A9%9A1%E5%B9%B4%E5%8D%8A%E7%A6%BB%E5%A9%9A%E8%A6%81%E5%9B%9E35%E4%B8%87%E5%BD%A9%E7%A4%BC%E5%88%A4%E8%BF%986%E4%B8%87&sa=fyb_news,https://fyb-2.cdn.bcebos.com/hotboard_image/042ac0716c92d20d76bbe694a2c05a2c
11,电力抢修人员在废品站卖电线？假,近日，有网友称大连一处废品站，有“电力抢修”工作人员卖电线，引发关注。对此，国网大连供电公司回应：网传信息系谣言。,6851558,https://m.baidu.com/s?word=%E7%94%B5%E5%8A%9B%E6%8A%A2%E4%BF%AE%E4%BA%BA%E5%91%98%E5%9C%A8%E5%BA%9F%E5%93%81%E7%AB%99%E5%8D%96%E7%94%B5%E7%BA%BF%EF%BC%9F%E5%81%87&sa=fyb_news,https://fyb-2.cdn.bcebos.com/hotboard_image/9cb1f692ff44104befefe2538fc3e1d1
12,刘强东给美团饿了么骑手敬酒欢迎,4月21日，一段刘强东身着外卖服，请快递员和外卖骑手吃火锅，期间还向穿美团和饿了么衣服的小哥敬酒的视频，在网上引起热议。,6757331,https://m.baidu.com/s?word=%E5%88%98%E5%BC%BA%E4%B8%9C%E7%BB%99%E7%BE%8E%E5%9B%A2%E9%A5%BF%E4%BA%86%E4%B9%88%E9%AA%91%E6%89%8B%E6%95%AC%E9%85%92%E6%AC%A2%E8%BF%8E&sa=fyb_news,https://fyb-2.cdn.bcebos.com/hotboard_image/878af777a0be6c8cd8fca7f2c19afb21
13,董明珠顺利连任格力电器董事,4月22日，格力电器临时股东大会审议通过了公司董事会换届选举的议案，董明珠顺利当选新一届董事，有望连任董事长。,6664912,https://m.baidu.com/s?word=%E8%91%A3%E6%98%8E%E7%8F%A0%E9%A1%BA%E5%88%A9%E8%BF%9E%E4%BB%BB%E6%A0%BC%E5%8A%9B%E7%94%B5%E5%99%A8%E8%91%A3%E4%BA%8B&sa=fyb_news,https://fyb-2.cdn.bcebos.com/hotboard_image/db42e718b07490ee1c9868bd6fdeffb4
14,普京：俄方积极看待停火,,6563159,https://m.baidu.com/s?word=%E6%99%AE%E4%BA%AC%EF%BC%9A%E4%BF%84%E6%96%B9%E7%A7%AF%E6%9E%81%E7%9C%8B%E5%BE%85%E5%81%9C%E7%81%AB&sa=fyb_news,https://fyb-1.cdn.bcebos.com/fyb/de6163834f53ca92c1273fff98ac9078.jpeg
15,巡视组进驻 河南2天两市委常委落马,据悉，濮阳市委常委、组织部部长刘建茂，南阳市委副书记、政法委书记金浩涉嫌严重违纪违法，目前正接受审查调查。,6468531,https://m.baidu.com/s?word=%E5%B7%A1%E8%A7%86%E7%BB%84%E8%BF%9B%E9%A9%BB+%E6%B2%B3%E5%8D%972%E5%A4%A9%E4%B8%A4%E5%B8%82%E5%A7%94%E5%B8%B8%E5%A7%94%E8%90%BD%E9%A9%AC&sa=fyb_news,https://fyb-2.cdn.bcebos.com/hotboard_image/c3963a7ceaf12ee3b4dc271888f5bd88
16,水利部启动干旱防御Ⅳ级应急响应,,6376527,https://m.baidu.com/s?word=%E6%B0%B4%E5%88%A9%E9%83%A8%E5%90%AF%E5%8A%A8%E5%B9%B2%E6%97%B1%E9%98%B2%E5%BE%A1%E2%85%A3%E7%BA%A7%E5%BA%94%E6%80%A5%E5%93%8D%E5%BA%94&sa=fyb_news,https://fyb-1.cdn.bcebos.com/fyb/de6163834f53ca92c1273fff98ac9078.jpeg
17,中方回应日本炒作中国治安形势不佳,22日，针对日方近日炒作中国治安不佳问题，中国外交部发言人郭嘉昆表示，日方政治操弄意图明显，中方对此强烈不满、坚决反对。,6284251,https://m.baidu.com/s?word=%E4%B8%AD%E6%96%B9%E5%9B%9E%E5%BA%94%E6%97%A5%E6%9C%AC%E7%82%92%E4%BD%9C%E4%B8%AD%E5%9B%BD%E6%B2%BB%E5%AE%89%E5%BD%A2%E5%8A%BF%E4%B8%8D%E4%BD%B3&sa=fyb_news,https://fyb-2.cdn.bcebos.com/hotboard_image/b3c1e24799bcf117f3f512bae0a0234e
18,杨毅谈王楚钦三大赛0冠,近日，杨毅谈王楚钦三大赛0冠：放在过去的体系中，没有拿过世界三大赛的冠军，是不可能排名世界第一的。,6191803,https://m.baidu.com/s?word=%E6%9D%A8%E6%AF%85%E8%B0%88%E7%8E%8B%E6%A5%9A%E9%92%A6%E4%B8%89%E5%A4%A7%E8%B5%9B0%E5%86%A0&sa=fyb_news,https://fyb-2.cdn.bcebos.com/hotboard_image/e0dd7cefc5e03bf068ac515ac9582c48
19,男子翻窗进入女邻居家强奸未遂获刑,85后男子酒后爬楼翻窗进入邻居卧室，欲与对方发生性关系遭强烈反抗未遂。男子因犯强奸罪，一审获刑一年半。,6084393,https://m.baidu.com/s?word=%E7%94%B7%E5%AD%90%E7%BF%BB%E7%AA%97%E8%BF%9B%E5%85%A5%E5%A5%B3%E9%82%BB%E5%B1%85%E5%AE%B6%E5%BC%BA%E5%A5%B8%E6%9C%AA%E9%81%82%E8%8E%B7%E5%88%91&sa=fyb_news,https://fyb-2.cdn.bcebos.com/hotboard_image/2e6c4e4d6c24fb7ff90b47ffb5b3f3d3
20,金价猛涨 突破1100元每克,,6002174,https://m.baidu.com/s?word=%E9%87%91%E4%BB%B7%E7%8C%9B%E6%B6%A8+%E7%AA%81%E7%A0%B41100%E5%85%83%E6%AF%8F%E5%85%8B&sa=fyb_news,https://fyb-1.cdn.bcebos.com/fyb/de6163834f53ca92c1273fff98ac9078.jpeg
