热搜排名,热搜标题,描述,热搜指数,链接地址,封图链接
0,跟着总书记学习中华传统廉洁文化,中华优秀传统文化蕴含着丰富的廉洁文化，习近平总书记曾指出：没有中华优秀传统文化、革命文化、社会主义先进文化的底蕴和滋养，信仰信念就难以深沉而执着。,7934114,https://m.baidu.com/s?word=%E8%B7%9F%E7%9D%80%E6%80%BB%E4%B9%A6%E8%AE%B0%E5%AD%A6%E4%B9%A0%E4%B8%AD%E5%8D%8E%E4%BC%A0%E7%BB%9F%E5%BB%89%E6%B4%81%E6%96%87%E5%8C%96&sa=fyb_news,https://fyb-2.cdn.bcebos.com/hotboard_image/733eaed528ef03609aad3b54d4acce26
1,日本地震,中国地震台网自动测定：01月13日20时19分在日本九州岛附近发生6.7级左右地震。,7900306,https://m.baidu.com/s?word=%E6%97%A5%E6%9C%AC%E5%9C%B0%E9%9C%87&sa=fyb_news,https://fyb-2.cdn.bcebos.com/hotboard_image/95851bbbf295a1fbf99d2c079396737c
2,女子产后不洗头 头发变成“稻草”,12日，山东一名女子产后因不敢洗头，头发变得如同“稻草”。出月子后，她的妹妹花了2小时帮助她清洗头发。,7836227,https://m.baidu.com/s?word=%E5%A5%B3%E5%AD%90%E4%BA%A7%E5%90%8E%E4%B8%8D%E6%B4%97%E5%A4%B4+%E5%A4%B4%E5%8F%91%E5%8F%98%E6%88%90%E2%80%9C%E7%A8%BB%E8%8D%89%E2%80%9D&sa=fyb_news,https://fyb-2.cdn.bcebos.com/hotboard_image/ffdcdfa339f2c882e0c499ce24813261
3,震区的她拿话筒说出新年愿望,西藏定日6.8级地震中，受灾严重的噶旦村已经进入过渡期安置。灾后恢复重建同步推进，孩子的笑声也重新回到村里。记者问当地小朋友：为什么想拿话筒呀？小朋友：因为我长大了想上电视。,7784192,https://m.baidu.com/s?word=%E9%9C%87%E5%8C%BA%E7%9A%84%E5%A5%B9%E6%8B%BF%E8%AF%9D%E7%AD%92%E8%AF%B4%E5%87%BA%E6%96%B0%E5%B9%B4%E6%84%BF%E6%9C%9B&sa=fyb_news,https://fyb-2.cdn.bcebos.com/hotboard_image/2464453fa8371bf5833a57e21b5dd30f
4,刘亦菲获封总台视后,近日，刘亦菲凭借《玫瑰的故事》获封总台视后，黄亦玫一角深入人心。,7610576,https://m.baidu.com/s?word=%E5%88%98%E4%BA%A6%E8%8F%B2%E8%8E%B7%E5%B0%81%E6%80%BB%E5%8F%B0%E8%A7%86%E5%90%8E&sa=fyb_news,https://fyb-2.cdn.bcebos.com/hotboard_image/9150ece556273bc8d2a86271f39105dd
5,男子住酒店发现装修风格似医院,,7552582,https://m.baidu.com/s?word=%E7%94%B7%E5%AD%90%E4%BD%8F%E9%85%92%E5%BA%97%E5%8F%91%E7%8E%B0%E8%A3%85%E4%BF%AE%E9%A3%8E%E6%A0%BC%E4%BC%BC%E5%8C%BB%E9%99%A2&sa=fyb_news,https://fyb-1.cdn.bcebos.com/fyb/de6163834f53ca92c1273fff98ac9078.jpeg
6,柳岩现身机场破怀孕传闻,近日，继粉丝辟谣后，柳岩现身机场再破怀孕传闻，小腹平坦状态轻松没孕味。,7479193,https://m.baidu.com/s?word=%E6%9F%B3%E5%B2%A9%E7%8E%B0%E8%BA%AB%E6%9C%BA%E5%9C%BA%E7%A0%B4%E6%80%80%E5%AD%95%E4%BC%A0%E9%97%BB&sa=fyb_news,https://fyb-2.cdn.bcebos.com/hotboard_image/132d53267780ac52588ad260a2cc6de2
7,梅见新年酒文案被指不尊重女性,近日，梅见青梅酒推出了新年包装，但其文案引起了众多网友的不满，纷纷在社交平台上发帖“避雷”。,7335550,https://m.baidu.com/s?word=%E6%A2%85%E8%A7%81%E6%96%B0%E5%B9%B4%E9%85%92%E6%96%87%E6%A1%88%E8%A2%AB%E6%8C%87%E4%B8%8D%E5%B0%8A%E9%87%8D%E5%A5%B3%E6%80%A7&sa=fyb_news,https://fyb-2.cdn.bcebos.com/hotboard_image/00931e61e8e3cf666fadb439b91fa1ef
8,蔡明评价李小冉,近日，在综艺《一路繁花》中，李小冉旅游又要睡好又要吃好，蔡明吐槽：那别去了！,7214938,https://m.baidu.com/s?word=%E8%94%A1%E6%98%8E%E8%AF%84%E4%BB%B7%E6%9D%8E%E5%B0%8F%E5%86%89&sa=fyb_news,https://fyb-2.cdn.bcebos.com/hotboard_image/5295f1a2ece574f571df663f74bad982
9,两市成交额跌破1万亿,,7141559,https://m.baidu.com/s?word=%E4%B8%A4%E5%B8%82%E6%88%90%E4%BA%A4%E9%A2%9D%E8%B7%8C%E7%A0%B41%E4%B8%87%E4%BA%BF&sa=fyb_news,https://fyb-1.cdn.bcebos.com/fyb/de6163834f53ca92c1273fff98ac9078.jpeg
10,《白月梵星》播放量破2亿,随着《白月梵星》的热播，该剧的受欢迎程度不断攀升，全网有效播放量破2亿。,7049106,https://m.baidu.com/s?word=%E3%80%8A%E7%99%BD%E6%9C%88%E6%A2%B5%E6%98%9F%E3%80%8B%E6%92%AD%E6%94%BE%E9%87%8F%E7%A0%B42%E4%BA%BF&sa=fyb_news,https://fyb-2.cdn.bcebos.com/hotboard_image/3850044bf6e37f69cedaf779aa459fa8
11,宋慧乔说几乎被王家卫绑了三年,近日，宋慧乔在节目中谈拍王家卫《一代宗师》的经历，以为只是短暂地去拍摄，结果“被抓在那里拍了三年！”,6905140,https://m.baidu.com/s?word=%E5%AE%8B%E6%85%A7%E4%B9%94%E8%AF%B4%E5%87%A0%E4%B9%8E%E8%A2%AB%E7%8E%8B%E5%AE%B6%E5%8D%AB%E7%BB%91%E4%BA%86%E4%B8%89%E5%B9%B4&sa=fyb_news,https://fyb-2.cdn.bcebos.com/hotboard_image/1e11eea1e61ae43d7bdd35fcbe86f577
