视频 ID,用户 ID,用户昵称,标题,归属类别,图片,发布时间,观看人数,弹幕数,点赞数,投币数,收藏数,分享数,评论数,当前时间
1356334552,94727573,科学认识论,333分钟，一口气看完，深度解读现代物理学几乎所有理论！,科学科普,http://i2.hdslb.com/bfs/archive/da2bb005f2f4fa9d7ebd03ca5638b1b46beed986.jpg,2024-07-18,813646,2995,161651,111320,236094,14854,2072,2024-07-19
1606400307,1636034895,绝区零,《绝区零》新艾利都治安局宣传动画｜治安局护航 ，防骗不用慌！,手机游戏,http://i0.hdslb.com/bfs/archive/c9b33eafd18b48e47292ca455b53780b737b74c4.jpg,2024-07-19,2251987,17464,313658,142192,59958,101225,15081,2024-07-19
1806329816,1955897084,鸣潮,《鸣潮》共鸣者「长离」展示PV丨执棋,手机游戏,http://i1.hdslb.com/bfs/archive/d1e36dc6131f66790d8c06803ca570515b727ca5.jpg,2024-07-19,2610597,12804,196426,72358,30474,33634,13010,2024-07-19
1006487189,546189,小Q不是导盲犬,联合国重磅报告披露巴以战争罪行，200页字字带血,社科·法律·心理,http://i1.hdslb.com/bfs/archive/2e8677e65b5e1933b05460dc6fa1a8835dadaf18.jpg,2024-07-19,1314928,11138,170190,39168,22789,9236,3497,2024-07-19
1956448918,407054668,亿点点不一样,花200个小时去美国追龙卷风，我们拍到了……,科学科普,http://i1.hdslb.com/bfs/archive/ae24e84d2a3fae78eda6839d2c449503b279e818.jpg,2024-07-18,2378232,8067,182329,70911,54453,9614,1884,2024-07-19
112807668417157,98627270,哔哩哔哩国创,“缘来九霄无尽法，冥冥千世命定劫”【永生】,国产动画,http://i2.hdslb.com/bfs/archive/5f02dca7c88d52317b4b21c11c68a9f496f1cb03.png,2024-07-19,1137934,7614,11945,7892,1469,168,615,2024-07-19
1756250681,1144336411,地图侦探,推理寻找，亡妻幼时的故乡。难度2星,科学科普,http://i2.hdslb.com/bfs/archive/3b868cb9418ecd07b0be53e75b86456d48211870.jpg,2024-07-18,1171445,3502,160759,54904,23671,7957,3639,2024-07-19
1956453491,38568774,鬼叔黍,氪金11万深度体验2周，客观聊聊绝区零的优缺点，一款进步空间很大的游戏。,手机游戏,http://i0.hdslb.com/bfs/archive/cc1e5c14c056b78ff90682787ebbc6d792f2ab9d.jpg,2024-07-19,825270,23158,92630,72494,15378,10492,14608,2024-07-19
1306366111,21837784,阿斗归来了,【阿斗】最后5分钟封神！华语悬疑巅峰之作！深度解读杜琪峰最烧脑的电影《神探》,影视剪辑,http://i0.hdslb.com/bfs/archive/df5e7ca1e57a9ae5e435e8b44fb345a496c04dfb.jpg,2024-07-19,559652,2041,23950,7614,6552,503,581,2024-07-19
1606339178,1340190821,崩坏星穹铁道,《崩坏：星穹铁道》2.4版本PV：「明霄竞武试锋芒」,手机游戏,http://i2.hdslb.com/bfs/archive/9560e68c97a921068d904ab27e932045fbabc9b1.jpg,2024-07-19,1167847,5566,107704,24850,15338,8195,7684,2024-07-19
1806446115,1340190821,崩坏星穹铁道,《崩坏：星穹铁道》2.4版本「明霄竞武试锋芒」前瞻特别节目,手机游戏,http://i0.hdslb.com/bfs/archive/13e389a4bccb52fc5036c4be30033463a3e4bc27.jpg,2024-07-19,1035352,22216,84379,15933,10653,2913,6909,2024-07-19
1406457473,3493130607265963,为了玲飞护肤纪录片,我伪装成奸商买了两吨卫生巾黑料...,日常,http://i1.hdslb.com/bfs/archive/0d2ba3ca20d53a0fd7b5f64c3d111411f4d199e1.jpg,2024-07-19,375326,487,67340,21163,6916,3904,1246,2024-07-19
1006113003,1327719714,BELLA贝拉F,每一颗心动 今天是纱巾与藤杖,舞蹈综合,http://i2.hdslb.com/bfs/archive/1d9c8c474dbe8327ede44569fa2615bc1444f7aa.jpg,2024-07-17,2544286,2125,292671,39123,124083,23425,3701,2024-07-19
1956433761,946974,影视飓风,用热成像看世界是什么样的？,数码,http://i2.hdslb.com/bfs/archive/56c7fea803d22477a976afc48c1bbf0388207204.jpg,2024-07-19,1348604,4362,97392,13950,12363,1851,1878,2024-07-19
1806333866,282960675,-阿洋Yoko-,《崩坏：星穹铁道》动画短片-「匹诺康尼事变」Part.2,同人·手书,http://i0.hdslb.com/bfs/archive/05ede1428e699ba09a242dcf482aa9084be2522d.jpg,2024-07-19,404975,821,106259,13990,36571,3279,473,2024-07-19
1756376893,177976892,网易一梦江湖官方,听到女娲后裔唱歌了！黄诗扶X贰婶合作大巫门派曲《祖籁》【一梦江湖】,原创音乐,http://i1.hdslb.com/bfs/archive/cedca26c5b016997c480131fb030a00b995ae22e.jpg,2024-07-19,282406,48,5077,898,2248,262,191,2024-07-19
1056367238,20530305,庄不纯,为什么我们不适合与杂交版联动,单机游戏,http://i2.hdslb.com/bfs/archive/53f1d75135c5bfc8e61c52dc449dad4f7a9c9c59.jpg,2024-07-18,1383160,1534,93223,12324,10836,836,2778,2024-07-19
